MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK028,P002,PL01,S003,22490000,9,2,5.0,256GB,2024-01-27
MK029,P002,PL01,S003,25890000,1,1,5.0,512GB,2024-01-27
MK030,P002,PL01,S006,27000000,1,0,,256GB,2024-01-27
MK031,P002,PL01,S006,33000000,0,0,,512GB,2024-01-27
MK032,P002,PL01,S006,42000000,0,0,,1TB,2024-01-27
MK033,P002,PL01,S006,30000000,0,0,,256GB,2024-01-27
MK034,P002,PL01,S004,36990000,0,0,,512GB,2024-01-27
MK035,P002,PL01,S006,42000000,0,0,,1TB,2024-01-27
MK036,P002,PL01,S006,33000000,0,0,,512GB,2024-01-27
MK037,P002,PL01,S006,30000000,0,0,,256GB,2024-01-27
MK038,P002,PL01,S006,30071000,0,0,,256GB,2024-01-27
MK039,P002,PL01,S004,44990000,0,0,,1TB,2024-01-27
MK040,P002,PL01,S004,31990000,0,0,,256GB,2024-01-27
MK041,P002,PL01,S005,23950000,0,0,,256GB,2024-01-27
MK042,P002,PL01,S006,34000000,0,0,,512GB,2024-01-27
MK043,P002,PL01,S006,27000000,0,0,,256GB,2024-01-27
MK044,P002,PL01,S006,42000000,0,0,,1TB,2024-02-04
MK045,P002,PL01,S006,33000000,0,0,,512GB,2024-02-04
MK046,P002,PL01,S006,30000000,0,0,,256GB,2024-02-04
MK047,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-02-04
MK048,P002,PL01,S006,27000000,1,0,,256GB,2024-02-04
MK049,P002,PL01,S004,36990000,0,0,,512GB,2024-02-04
MK050,P002,PL01,S006,33000000,0,0,,512GB,2024-02-04
MK051,P002,PL01,S006,30000000,0,0,,256GB,2024-02-04
MK052,P002,PL01,S006,42000000,0,0,,1TB,2024-02-04
MK053,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-02-04
MK054,P002,PL01,S006,30071000,0,0,,256GB,2024-02-04
MK055,P002,PL01,S004,31990000,0,0,,256GB,2024-02-04
MK056,P002,PL01,S005,23430000,0,0,,256GB,2024-02-04
MK057,P002,PL01,S004,44990000,0,0,,1TB,2024-02-04
MK058,P002,PL01,S006,27000000,0,0,,256GB,2024-02-04
MK059,P002,PL01,S006,34000000,0,0,,512GB,2024-02-04
MK060,P002,PL01,S006,42000000,0,0,,1TB,2024-02-11
MK061,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-02-11
MK062,P002,PL01,S006,30000000,0,0,,256GB,2024-02-11
MK063,P002,PL01,S006,33000000,0,0,,512GB,2024-02-11
MK064,P002,PL01,S006,27000000,1,0,,256GB,2024-02-11
MK065,P002,PL01,S004,36990000,0,0,,512GB,2024-02-11
MK066,P002,PL01,S006,42000000,0,0,,1TB,2024-02-11
MK067,P002,PL01,S006,30000000,0,0,,256GB,2024-02-11
MK068,P002,PL01,S006,30071000,0,0,,256GB,2024-02-11
MK069,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-02-11
MK070,P002,PL01,S004,31990000,0,0,,256GB,2024-02-11
MK071,P002,PL01,S006,30071000,0,0,,256GB,2024-02-11
MK072,P002,PL01,S004,44990000,0,0,,1TB,2024-02-11
MK073,P002,PL01,S006,27000000,0,0,,256GB,2024-02-11
MK074,P002,PL01,S006,33000000,0,0,,512GB,2024-02-11
MK075,P002,PL01,S006,34000000,0,0,,512GB,2024-02-11
MK076,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-02-21
MK077,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-02-21
MK078,P002,PL01,S004,31990000,0,0,,256GB,2024-02-21
MK079,P002,PL01,S004,44990000,0,0,,1TB,2024-02-21
MK080,P002,PL01,S005,23430000,0,0,,256GB,2024-02-21
MK081,P002,PL01,S004,36990000,0,0,,512GB,2024-02-21
MK082,P002,PL01,S004,31990000,0,0,,256GB,2024-03-08
MK083,P002,PL01,S004,44990000,0,0,,1TB,2024-03-08
MK084,P002,PL01,S005,28330000,0,0,,256GB,2024-03-08
MK085,P002,PL01,S004,36990000,0,0,,512GB,2024-03-08
MK086,P002,PL01,S004,31990000,0,0,,256GB,2024-03-23
MK087,P002,PL01,S004,36990000,0,0,,512GB,2024-03-23
MK088,P002,PL01,S004,44990000,0,0,,1TB,2024-03-23
MK089,P002,PL01,S004,36990000,0,0,,512GB,2024-03-30
MK090,P002,PL01,S004,31990000,0,0,,256GB,2024-03-30
MK091,P002,PL01,S005,28330000,0,0,,256GB,2024-03-30
MK092,P002,PL01,S004,44990000,0,0,,1TB,2024-03-30
MK093,P002,PL01,S004,31990000,0,0,,256GB,2024-04-07
MK094,P002,PL01,S004,36990000,0,0,,512GB,2024-04-07
MK095,P002,PL01,S005,31490000,0,0,,256GB,2024-04-07
MK096,P002,PL01,S004,44990000,0,0,,1TB,2024-04-07
MK097,P002,PL01,S004,36990000,0,0,,512GB,2024-04-17
MK098,P002,PL01,S005,31490000,0,0,,256GB,2024-04-17
MK099,P002,PL01,S004,31990000,0,0,,256GB,2024-04-17
MK100,P002,PL01,S004,44990000,0,0,,1TB,2024-04-17
MK101,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-03-08
MK102,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-03-23
MK103,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-03-30
MK104,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-04-07
MK105,P002,PL01,S003,31990000,9,2,5.0,256GB,2024-04-17
MK106,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-03-08
MK107,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-03-23
MK108,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-03-30
MK109,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-04-07
MK110,P002,PL01,S003,36990000,1,1,5.0,512GB,2024-04-17
MK111,P002,PL01,S006,27000000,1,0,,256GB,2024-02-21
MK112,P002,PL01,S006,27000000,1,0,,256GB,2024-03-08
MK113,P002,PL01,S006,27000000,1,0,,256GB,2024-03-23
MK114,P002,PL01,S006,27000000,1,0,,256GB,2024-03-30
MK115,P002,PL01,S006,27000000,1,0,,256GB,2024-04-07
MK116,P002,PL01,S006,27000000,1,0,,256GB,2024-04-17
MK117,P002,PL01,S006,27000000,0,0,,256GB,2024-02-21
MK118,P002,PL01,S006,27000000,0,0,,256GB,2024-03-08
MK119,P002,PL01,S006,27000000,0,0,,256GB,2024-03-23
MK120,P002,PL01,S006,27000000,0,0,,256GB,2024-03-30
MK121,P002,PL01,S006,27000000,0,0,,256GB,2024-04-07
MK122,P002,PL01,S006,27000000,0,0,,256GB,2024-04-17
MK123,P002,PL01,S006,34000000,0,0,,512GB,2024-02-21
MK124,P002,PL01,S006,34000000,0,0,,512GB,2024-03-08
MK125,P002,PL01,S006,34000000,0,0,,512GB,2024-03-23
MK126,P002,PL01,S006,34000000,0,0,,512GB,2024-03-30
MK127,P002,PL01,S006,34000000,0,0,,512GB,2024-04-07
MK128,P002,PL01,S006,34000000,0,0,,512GB,2024-04-17
MK129,P002,PL01,S006,42000000,0,0,,1TB,2024-02-21
MK130,P002,PL01,S006,42000000,0,0,,1TB,2024-03-08
MK131,P002,PL01,S006,42000000,0,0,,1TB,2024-03-23
MK132,P002,PL01,S006,42000000,0,0,,1TB,2024-03-30
MK133,P002,PL01,S006,42000000,0,0,,1TB,2024-04-07
MK134,P002,PL01,S006,42000000,0,0,,1TB,2024-04-17
MK135,P002,PL01,S006,30000000,0,0,,256GB,2024-02-21
MK136,P002,PL01,S006,30000000,0,0,,256GB,2024-03-08
MK137,P002,PL01,S006,30000000,0,0,,256GB,2024-03-23
MK138,P002,PL01,S006,30000000,0,0,,256GB,2024-03-30
MK139,P002,PL01,S006,30000000,0,0,,256GB,2024-04-07
MK140,P002,PL01,S006,30000000,0,0,,256GB,2024-04-17
MK141,P002,PL01,S006,33000000,0,0,,512GB,2024-02-21
